title,director,year,runtime,countries,genres,premiere_status,session_date,session_venue,session_time,film_url
Once Upon a Time in Gaza,Tarzan Nasser,2025,91 mins,"Germany, France, Portugal, Qatar, Palestine","Comedy, Action",Australian Premiere,2025-08-23,Unknown,1:15pm,https://miff.com.au/program/film/once-upon-a-time-in-gaza
This Is Not Your Garden,Carlos Velandia,2025,13 mins,Colombia,Experimental,Australian Premiere,2025-08-10,ACMI,11:15am,https://miff.com.au/program/film/this-is-not-your-garden
This Is Not Your Garden,Carlos Velandia,2025,13 mins,Colombia,Experimental,Australian Premiere,2025-08-19,ACMI,11:15am,https://miff.com.au/program/film/this-is-not-your-garden
Love,Dag Johan Haugerud,2024,119 mins,Norway,Drama,Australian Premiere,2025-08-09,Unknown,6:15pm,https://miff.com.au/program/film/love
Love,Dag Johan Haugerud,2024,119 mins,Norway,Drama,Australian Premiere,2025-08-23,Unknown,1:15pm,https://miff.com.au/program/film/love
Lost Chapters,Lorena Alvarado,2024,67 mins,Venezuela,Drama,Australian Premiere,2025-08-12,ACMI,11:00am,https://miff.com.au/program/film/lost-chapters
Lost Chapters,Lorena Alvarado,2024,67 mins,Venezuela,Drama,Australian Premiere,2025-08-23,ACMI,10:45am,https://miff.com.au/program/film/lost-chapters
Theory to Practice: Cinema and Cultural Exchange,,,,,,,,,,https://miff.com.au/program/film/theory-to-practice-cinema-and-cultural-exchange
An Urban Allegory,Alice Rohrwacher,2024,21 mins,France,"Drama, Fantasy",Australian Premiere,2025-08-13,Unknown,10:30am,https://miff.com.au/program/film/an-urban-allegory
An Urban Allegory,Alice Rohrwacher,2024,21 mins,France,"Drama, Fantasy",Australian Premiere,2025-08-19,ACMI,10:30am,https://miff.com.au/program/film/an-urban-allegory
An Urban Allegory,Alice Rohrwacher,2024,21 mins,France,"Drama, Fantasy",Australian Premiere,2025-08-23,Hoyts 8/10Level 3,1:15pm,https://miff.com.au/program/film/an-urban-allegory
Jimmy Barnes: Working Class Man,Andrew Farrell,2025,107 mins,Australia,Documentary,World Premiere,2025-08-21,Unknown,6:00pm,https://miff.com.au/program/film/jimmy-barnes-working-class-man
